date,Arsenal,Tottenham,Chelsea,ManchesterUtd,ManchesterCity,Liverpool,Southampton,Swansea,Stoke City,Wigan Athletic,Everton,West Ham,West Brom,Fulham,Newcastle Utd,Sunderland,Aston Villa,Reading,Norwich,QPR
20120816,11,14,4,16,5,18,13,2,10,17,7,8,3,1,6,12,15,9,19,20
20120824,12,14,1,7,5,16,19,2,11,8,3,10,4,6,9,13,20,15,17,18
20120902,8,14,1,5,5,18,20,2,12,9,6,7,4,11,10,13,17,16,15,19
20120913,3,10,1,2,4,17,20,5,12,14,7,8,6,9,10,15,13,19,16,18
20120921,5,8,1,2,7,18,16,11,13,15,3,9,4,6,10,12,14,20,17,19
20120927,7,5,1,3,4,14,17,11,12,16,2,10,6,8,9,13,15,19,18,20
20121004,7,5,1,2,3,14,17,11,12,15,4,8,6,9,10,13,16,18,19,20
20121018,9,5,1,2,3,12,18,10,13,16,4,7,6,8,11,14,17,19,15,20
20121025,6,4,1,2,3,12,19,11,13,15,5,9,8,7,10,14,17,18,16,20
20121102,7,6,2,1,3,12,20,11,15,13,4,9,5,8,10,16,17,18,14,19
20121108,8,7,3,1,2,13,19,11,12,14,4,6,5,9,10,16,17,18,15,20
20121122,6,8,3,2,1,11,19,10,14,16,5,7,4,9,12,15,18,17,13,20
20121130,6,7,4,1,2,11,17,9,12,15,5,8,3,10,14,16,18,19,13,20
20121203,7,5,3,1,2,12,18,8,9,15,6,10,4,11,14,16,17,19,13,20
20121206,10,4,3,1,2,11,18,7,9,16,6,8,5,13,14,17,15,19,12,20
20121213,7,5,3,1,2,10,16,8,9,18,4,11,6,13,14,15,17,19,12,20
20121220,5,4,3,1,2,12,17,10,9,18,6,11,7,13,15,16,14,20,8,19
20121226,4,6,3,1,2,8,17,11,9,18,5,12,7,13,14,15,16,20,10,19
20121228,7,4,3,1,2,10,17,9,8,18,5,12,6,14,15,13,16,19,11,20
20130101,5,4,3,1,2,9,18,10,8,16,6,12,7,14,15,13,17,19,11,20
20130103,6,3,4,1,2,8,17,9,10,18,5,11,7,13,15,14,16,19,12,20
20130118,6,4,3,1,2,8,15,9,10,17,5,11,7,13,16,14,18,19,12,20
20130131,6,4,3,1,2,7,15,9,10,19,5,12,8,14,16,11,17,18,13,20
20130207,6,4,3,1,2,7,16,8,10,18,5,13,9,12,15,11,19,17,14,20
20130211,6,4,3,1,2,7,16,8,10,18,5,11,9,13,15,12,19,17,14,20
20130221,5,4,3,1,2,9,15,7,10,19,6,11,8,12,16,13,17,18,14,20
20130301,5,3,4,1,2,8,16,9,10,17,6,14,7,11,13,15,18,19,12,20
20130314,5,3,4,1,2,6,16,9,11,18,7,12,8,10,13,15,17,19,14,20
20130321,5,4,3,1,2,7,16,9,11,18,6,14,8,10,13,15,17,19,12,20
20130406,5,3,4,1,2,7,12,9,13,17,6,11,8,10,15,16,18,20,14,19
20130412,5,4,3,1,2,7,11,9,15,18,6,12,8,10,13,17,16,20,14,19
20130419,3,5,4,1,2,7,11,9,16,18,6,12,8,10,13,15,17,20,14,19
20130425,4,5,3,1,2,7,12,9,16,18,6,11,8,10,13,15,17,20,14,19
20130503,3,5,4,1,2,7,12,9,15,18,6,10,8,11,16,14,17,20,13,19
20130510,4,5,3,1,2,7,13,9,12,18,6,10,8,11,17,15,16,20,14,19
20130517,4,5,3,1,2,7,14,9,11,18,6,10,8,12,17,15,13,20,16,19
20130524,4,5,3,1,2,7,14,9,11,18,6,10,8,15,13,17,16,19,12,20
20130531,4,5,3,1,2,7,14,9,13,18,6,10,8,12,16,17,15,19,11,20